date,long_ret,short_ret,hedged_ret,index_ret
20080102,0.0,0.0,0.0,0.00877212208063
20080103,0.0,0.0,0.0,0.00685799324544
20080104,0.0,0.0,0.0,0.0113640010372
20080107,0.0,0.0,0.0,0.0133019065768
20080108,0.0,0.0,0.0,-0.00513606089199
20080109,0.0,0.0,0.0,0.0155034665001
20080110,0.0,0.0,0.0,0.0104023009186
20080111,0.0,0.0,0.0,0.0047588623299
20080114,0.0,0.0,0.0,0.00572190891023
20080115,0.0,0.0,0.0,-0.00615989128639
20080116,0.0,0.0,0.0,-0.0334827831369
20080117,0.0,0.0,0.0,-0.0254450056187
20080118,0.0,0.0,0.0,0.00910313506873
20080121,0.0,0.0,0.0,-0.049632577014
20080122,0.0,0.0,0.0,-0.0761535672073
20080123,0.0,0.0,0.0,0.0465395757728
20080124,0.0,0.0,0.0,0.0104725301606
20080125,0.0,0.0,0.0,0.00998883476789
20080128,0.0,0.0,0.0,-0.0680553090944
20080129,0.0,0.0,0.0,0.00638223726157
20080130,0.0,0.0,0.0,-0.010800105752
20080131,0.0,0.0,0.0,-0.0191589189777
20080201,-0.0447529274307,-0.041913788203,-0.00283913922773,-0.0104874014182
20080204,0.0799468543619,0.0760581534561,0.00388870090583,0.0827173117787
20080205,0.00294369660291,0.00167518052471,0.0012685160782,-0.00571601842701
20080213,-0.00396271584647,-0.00377874900938,-0.000183966837092,-0.0214848992112
20080214,0.0193473435027,0.0230094582335,-0.00366211473077,0.0133236878759
20080215,-0.00505533403121,-0.00618150400843,0.00112616997722,-0.0137167097109
20080218,0.0326583089279,0.0342470044649,-0.00158869553697,0.0202939307267
20080219,0.0172305430499,0.0144797170395,0.00275082601046,0.0223500669519
20080220,-0.00428094524526,-0.0104474132941,0.00616646804885,-0.0223145810997
20080221,0.0154622968483,0.0101347157847,0.00532758106366,-0.00665897015452
20080222,-0.024677782461,-0.0222474452433,-0.00243033721769,-0.0356414952328
20080225,-0.0262047121468,-0.0328233093436,0.00661859719683,-0.0388023497732
20080226,0.00010091459057,0.00363851824026,-0.00353760364969,-0.000940310629957
20080227,0.0238683659576,0.0259063968465,-0.00203803088888,0.0275128096727
20080228,0.00417144142134,0.00455693545254,-0.000385494031192,-0.00381743225092
20080229,0.0154891678349,0.0130868161905,0.00240235164443,0.0113572834254
20080303,0.0324688169237,0.0311277388274,0.00134107809627,0.0248567241767
20080304,-0.0036486350514,-0.00670375237485,0.00305511732345,-0.024963972193
20080305,0.00951854829131,0.00762479004413,0.00189375824718,-0.00908213569769
20080306,-0.000117537580836,0.00563125208445,-0.00574878966529,0.0121644755661
20080307,-0.0262886703386,-0.020609566775,-0.00567910356359,-0.0135207245204
20080310,-0.0306409648442,-0.0339113873539,0.0032704225097,-0.0411313189886
20080311,0.0155204425993,0.0145017507655,0.00101869183374,0.0021651376064
20080312,-0.0265350987262,-0.0284782405089,0.00194314178265,-0.0296173272713
20080313,-0.0389452784378,-0.0332709224634,-0.00567435597437,-0.0256837681407
20080314,-0.0047776834434,-0.00783770188237,0.00306001843898,-0.00978551831882
20080317,-0.0768354082511,-0.0776423107948,0.000806902543785,-0.0463198593703
20080318,-0.0724719802684,-0.0713380222247,-0.00113395804378,-0.0507734764691
20080319,0.0478134595221,0.0489219928719,-0.00110853334983,0.0331866965218
20080320,0.0414413728919,0.0386463094949,0.00279506339702,0.0290498940435
20080321,0.0111589697125,0.0105431757583,0.000615793954164,0.00899538011591
20080324,-0.0205702315954,-0.0186146326308,-0.00195559896458,-0.0447614188809
20080325,0.0121577320286,0.0108821027088,0.00127562931981,0.0126216882101
20080326,-0.00693526508666,-0.00401235156849,-0.00292291351816,0.00220084418607
20080327,-0.0547025124401,-0.0567717365143,0.00206922407414,-0.0422673380391
20080328,0.0294442467692,0.0282622581209,0.00118198864835,0.0451426010691
20080331,-0.0451876325419,-0.0473053428732,0.00211771033122,-0.0325729756549
20080401,-0.0839413556847,-0.0825564204884,-0.00138493519626,-0.054787852886
20080402,-0.05169750318,-0.0538858585947,0.00218835541467,-0.0097346948174
20080403,0.0243049963751,0.0252382989828,-0.00093330260777,0.0289519915152
20080407,0.0604330123199,0.0630129336751,-0.00257992135525,0.053448409044
20080408,0.0216763958709,0.0247185387025,-0.00304214283165,0.0117626348801
20080409,-0.058930149971,-0.0601488827045,0.00121873273353,-0.0521539251911
20080410,0.0261969641797,0.0289410409823,-0.0027440768026,0.0180552448738
20080411,0.0200592782278,0.0172721971613,0.00278708106644,0.00772708447911
20080414,-0.0648302106316,-0.066240616635,0.00141040600341,-0.0653855139693
20080415,0.0379475927704,0.0324582079464,0.00548938482397,0.0132827083016
20080416,-0.024323483177,-0.0278327899682,0.00350930679117,-0.0249164247806
20080417,-0.0346115806609,-0.0372121782217,0.00260059756076,-0.030734261091
20080418,-0.0505198721317,-0.0463124598156,-0.00420741231615,-0.0337004632924
20080421,-0.000418425166566,-0.00163574210127,0.00121731693471,-0.00151107761989
20080422,-0.022410529944,-0.0167050315008,-0.0057054984432,0.00879036735124
20080423,0.0391232918692,0.0397157148069,-0.000592422937701,0.0477660099561
20080424,0.0886498690251,0.0883917880576,0.000258080967506,0.0928785048731
20080425,0.0081988759118,0.00652117334983,0.00167770256197,0.00756814670219
20080428,-0.00426739076638,-0.0058345142114,0.00156712344502,-0.0194358768048
20080429,0.00555409522983,0.00707681921225,-0.00152272398242,0.0128149709022
20080430,0.0344798934682,0.0379511178538,-0.00347122438555,0.0482337170564
20080505,0.031106075536,0.0302624532342,0.000843622301816,0.0244145225238
