date,long_ret,short_ret,hedged_ret,index_ret
20090105,0.0,0.0,0.0,0.0358894264359
20090106,0.0,0.0,0.0,0.0317776435918
20090107,0.0,0.0,0.0,-0.0059795294923
20090108,0.0,0.0,0.0,-0.0223630343759
20090109,0.0,0.0,0.0,0.0160880004195
20090112,0.0,0.0,0.0,0.00121040573613
20090113,0.0,0.0,0.0,-0.0231698345436
20090114,0.0,0.0,0.0,0.0421381686774
20090115,0.0,0.0,0.0,-0.000189234693982
20090116,0.0,0.0,0.0,0.0180778914651
20090119,0.0,0.0,0.0,0.0111802047418
20090120,0.0,0.0,0.0,0.00632309133327
20090121,0.0,0.0,0.0,-0.00171835728993
20090122,0.0,0.0,0.0,0.0112978617111
20090123,0.0,0.0,0.0,-0.00580518656663
20090202,0.0,0.0,0.0,0.0119944979097
20090203,0.0222191549189,0.0302270830701,-0.00800792815116,0.0252043811979
20090204,0.0214093763427,0.0259458619281,-0.00453648558543,0.0272671664509
20090205,-0.01546020094,-0.0150081670839,-0.00045203385614,-0.00712836973912
20090206,0.0445407692258,0.0483545553934,-0.0038137861676,0.0401255990899
20090209,0.0353794998327,0.0277961368347,0.00758336299802,0.0265465207752
20090210,0.023634332244,0.0310062505994,-0.00737191835539,0.0130985182037
20090211,0.000737454914455,0.00296632277281,-0.00222886785836,0.00188373937093
20090212,0.0115835156137,0.0254654034751,-0.0138818878614,-0.00548873554461
20090213,0.0356629386304,0.0372757404475,-0.00161280181709,0.0348188339689
20090216,0.0168769432636,0.0275922502736,-0.01071530701,0.0263352597783
20090217,-0.0327574958261,-0.044187787266,0.0114302914399,-0.0312527794756
20090218,-0.0426465148321,-0.0456478843943,0.00300136956216,-0.045885348257
20090219,0.0159016919457,0.0211578629178,-0.00525617097213,0.00991676490865
20090220,0.032854318163,0.033656010109,-0.000801691946014,0.0199737905998
20090223,0.0323326576076,0.0315069594667,0.00082569814085,0.0282218297843
20090224,-0.0504497119722,-0.0452604263653,-0.0051892856069,-0.0450665240672
20090225,0.0085929221596,0.00826091990265,0.000332002256959,0.00104350893564
20090226,-0.0644010980996,-0.0653446147647,0.000943516665109,-0.0495024196583
20090227,-0.0467106620116,-0.0731227700137,0.0264121080021,-0.0226903206807
20090302,0.0290030327961,0.0222602020648,0.00674283073128,0.0112950825723
20090303,0.00994603900879,0.00149827571487,0.00844776329392,-0.0103997568216
20090304,0.0544768968629,0.060023984814,-0.00554708795105,0.0667529038529
20090305,-3.32032755931e-06,0.0135030198558,-0.0135063401833,0.00865151462771
20090306,-0.0106400283165,-0.00635839574715,-0.00428163256931,-0.00795819722949
20090309,-0.044476814323,-0.0495656841129,0.00508886978987,-0.0367575798924
20090310,0.0247695206208,0.0281249168398,-0.00335539621903,0.0173686860592
20090311,-0.00976932739485,0.00108227493572,-0.0108516023306,-0.00910485714362
20090312,0.00865814922659,0.00309441060612,0.00556373862046,-0.00210774732253
20090313,-0.0109804055591,-0.0129844786047,0.00200407304563,-0.00463871462743
20090316,0.00525133999837,0.0126075346103,-0.00735619461194,0.0164104647546
20090317,0.033226591632,0.0328356351047,0.000390956527249,0.0360405493542
20090318,0.0164693031855,0.00992740896264,0.00654189422283,0.00441310142986
20090319,0.0237407570595,0.0246536726249,-0.000912915565372,0.0213971050975
20090320,-0.00357234937312,-0.0131593600188,0.00958701064572,-0.00114414555076
20090323,0.00957069824721,0.0222647463176,-0.0126940480704,0.0250256530066
20090324,0.00140791845217,0.0123769031745,-0.0109689847223,0.00507830835105
20090325,-0.027237276218,-0.0272580468535,2.07706355071e-05,-0.0205793090172
20090326,0.020342861082,0.0233295364768,-0.00298667539477,0.032674433761
20090327,0.00391642191455,0.00971263909275,-0.0057962171782,0.00771920514205
20090330,0.00429998122272,0.00497149490451,-0.000671513681787,-0.0057800715586
20090331,0.00497995121944,0.0109201311504,-0.00594017993098,0.00937899856188
20090401,0.0160335871004,0.0120274571098,0.00400612999056,0.0161229672831
20090402,0.0026586195014,0.00251765926638,0.000140960235014,0.0110579062578
20090403,-0.00951486751124,-0.0174072093228,0.00789234181155,-0.00228885266263
20090407,0.0104212305129,0.0178683047054,-0.00744707419248,0.00250806943233
20090408,-0.0274310309201,-0.030431678461,0.00300064754091,-0.037875007276
20090409,0.0138165859351,0.0152202983485,-0.00140371241341,0.0154560795822
20090410,0.0263107557611,0.0243977699662,0.00191298579493,0.0309258286137
20090413,0.0165508463548,0.0114703696696,0.00508047668519,0.0234973203931
20090414,0.0125361267692,0.0137295373284,-0.00119341055918,0.00766190931136
20090415,0.0162782880107,0.0215340390633,-0.00525575105262,0.00377978476371
20090416,0.00730173978579,0.00664903471713,0.000652705068662,4.31709831447e-05
20090417,-0.0151228033391,-0.0139164706071,-0.00120633273197,-0.0135517541921
20090420,0.0275179637613,0.0324232179567,-0.00490525419535,0.0214947724952
20090421,-0.00134727520112,-0.00271705143627,0.00136977623515,-0.0119013896465
20090422,-0.0489719171172,-0.0497081183564,0.000736201239182,-0.0370634085882
20090423,0.0104924176833,-0.000454032605801,0.0109464502891,0.00670850734062
20090424,-0.00540108733906,-0.00490752906139,-0.000493558277674,-0.00797204156134
20090427,-0.0350620574682,-0.038951575752,0.00388951828381,-0.0231630758898
20090428,0.0175926659596,0.00761865164186,0.0099740143177,0.0020845170398
20090429,0.0215791639616,0.0233784554079,-0.00179929144632,0.0344800202975
20090430,0.016522342388,0.0167690933953,-0.000246751007356,0.0067383903246
20090504,0.0276375325964,0.0320114971291,-0.00437396453268,0.0348370483956
